timestamp,name,account_balance
0,user23,356656
187,user149,787351
294,user90,599926
362,user480,617478
502,user148,305712
547,user318,663006
621,user99,449084
665,user23,575277
737,user431,-17259
765,user53,758202
808,user327,584873
868,user147,627199
1027,user135,609605
1095,user61,304992
1272,user385,800379
1350,user312,721921
1383,user416,154861
1411,user374,28977
1451,user173,240237
1524,user423,879581
1670,user349,869246
1773,user284,285605
1835,user354,813490
1855,user291,496433
1892,user385,305207
1966,user360,862489
2122,user357,624875
2204,user74,226867
2207,user474,23946
2317,user203,52671
2497,user137,429127
2620,user70,692411
2735,user395,-107580
2753,user29,555684
2928,user460,-196066
3124,user216,165114
3231,user410,914985
3325,user97,-62089
3435,user221,802361
3518,user397,329994
3635,user56,266553
3674,user240,110113
3763,user247,308029
3779,user125,601058
3844,user214,114983
3998,user317,736395
4005,user348,607696
4018,user320,705388
4119,user15,636915
4166,user432,849739
4344,user274,694600
4470,user10,-170491
4647,user71,990345
4805,user154,-123874
4941,user74,869466
5023,user358,561173
5201,user157,184081
5367,user419,597097
5447,user346,49963
5589,user224,546656
5785,user260,814675
5961,user19,295114
6065,user110,672158
6107,user157,351255
6155,user18,707533
6230,user367,813924
6391,user190,-80656
6569,user297,848049
6652,user477,413795
6764,user441,180432
6925,user395,-44272
6994,user98,768668
7035,user294,224631
7092,user11,-127916
7126,user74,878730
7322,user182,147835
7475,user499,411942
7583,user264,271480
7738,user89,182788
7784,user27,684486
7837,user485,-149375
7882,user341,486520
7935,user254,534811
8059,user384,942771
8181,user425,588497
8370,user232,324593
8474,user402,-96047
8620,user453,135331
8663,user489,366447
8832,user133,371009
9003,user374,-61968
9087,user308,777385
9102,user363,502355
9203,user290,343549
9218,user235,334792
9298,user140,283336
9466,user85,528727
9661,user256,781028
9752,user131,-187743
9826,user354,348403
9846,user466,575426
9889,user397,-23763
10037,user17,780078
10150,user61,812159
10187,user129,366204
10289,user244,493957
10307,user266,-61465
10427,user104,891156
10496,user128,239146
10513,user200,966895
10659,user186,932142
10674,user287,-163303
10703,user25,-125457
10722,user446,-9691
10824,user447,236599
10929,user151,-148950
11047,user424,607103
11155,user109,467267
11181,user325,-52516
11319,user73,710532
11340,user33,401012
11405,user367,41932
11480,user224,475438
11585,user124,357168
11783,user214,202573
11895,user494,-90518
12002,user130,263192
12072,user230,924395
12197,user87,473322
12339,user312,96527
12479,user2,71167
12591,user468,660609
12756,user108,-135087
12892,user82,710984
13078,user6,-20141
13106,user236,223433
13241,user210,351917
13339,user94,42996
13456,user397,957420
13469,user436,676949
13508,user250,-5
13648,user350,-83043
13719,user156,-156561
13838,user218,90506
14008,user360,918195
14104,user101,484464
14128,user5,802157
14174,user357,248428
14238,user84,-118661
14305,user200,310826
14394,user63,404489
14570,user378,295723
14767,user67,-192602
14797,user253,912540
14897,user123,963902
14948,user232,-45629
15113,user17,986646
15201,user173,893722
15321,user93,743466
15368,user178,-66191
15404,user239,711603
15425,user204,956892
15611,user200,621182
15753,user20,425835
15939,user98,607030
16080,user262,850803
16100,user29,220646
16114,user272,298075
16286,user161,119308
16433,user5,949443
16511,user38,14108
16632,user397,-102872
16756,user5,764968
16951,user229,256539
17013,user131,-81098
17144,user229,767466
17304,user133,-86842
17495,user209,753793
17665,user244,-110114
17842,user97,16692
18034,user421,-104664
18206,user223,349077
18331,user218,527560
18368,user193,90517
18498,user87,714513
18512,user126,316718
18632,user202,634671
18806,user96,626684
19001,user240,500965
19002,user228,470636
19028,user308,-80083
19101,user152,-54685
19201,user231,281469
19210,user400,-61996
19363,user236,863157
19502,user30,659486
19559,user325,523797
19731,user395,-174419
19915,user441,778694
20077,user469,816203
20178,user125,850740
20214,user319,552233
20240,user277,50045
20413,user314,959172
20450,user177,168875
20638,user182,153678
20827,user264,-105626
21002,user490,655536
21183,user493,592367
21267,user103,810486
21384,user66,298111
21540,user324,55265
21659,user392,356639
21839,user474,498410
21987,user254,459295
22124,user240,845575
22299,user192,-185365
22425,user110,732454
22462,user243,139337
22543,user215,367007
22598,user404,-61175
22793,user31,999239
22979,user79,778157
23051,user225,621406
23205,user123,536882
23336,user497,870674
23413,user434,500037
23530,user43,584920
23673,user116,967077
23830,user446,389559
23859,user456,-155110
23955,user443,617905
24057,user330,-103910
24198,user17,51245
24323,user373,75660
24439,user149,-4796
24447,user239,-36982
24501,user372,116653
24616,user428,20381
24772,user151,134144
24936,user198,142598
24975,user437,903991
25008,user292,226449
25077,user338,513612
25182,user8,570251
25367,user380,395259
25424,user378,78867
25494,user381,-113182
25498,user105,859655
25627,user313,-24516
25722,user495,134271
25779,user209,642293
25792,user293,436203
25949,user66,747792
26034,user467,567312
26070,user309,-148818
26105,user442,-188358
26120,user352,-20844
26200,user441,650639
26311,user149,504511
26398,user124,-147800
26421,user265,813857
26583,user174,367393
26664,user19,71613
26788,user157,984978
26847,user499,809021
27014,user83,799987
27124,user484,166024
27204,user148,126313
27236,user37,-27578
27242,user29,923547
27359,user73,565139
27393,user334,-7124
27403,user309,746916
27434,user485,274874
27506,user286,519679
27623,user436,-175172
27759,user22,481359
27903,user291,262296
27924,user57,712496
27974,user255,970755
28014,user445,581676
28178,user219,912138
28320,user105,304591
28480,user20,133379
28511,user355,-146965
28632,user263,633922
28655,user161,924935
28673,user416,883755
28795,user410,-123271
28958,user30,-151154
29133,user466,-43637
29290,user457,443900
29309,user10,527814
29436,user471,-88302
29592,user84,283171
29723,user455,360873
29905,user107,11433
30070,user16,660860
30145,user380,555749
30336,user201,-106935
30468,user109,808579
30576,user458,303681
30648,user294,695333
30695,user300,600203
30802,user326,858602
30915,user466,635390
31073,user171,904305
31252,user481,-83106
31362,user63,30363
31495,user120,152190
31506,user305,-177936
31659,user35,892471
31719,user449,968280
31797,user63,917560
31876,user370,108053
32063,user484,785539
32228,user310,25882
32237,user196,554867
32408,user19,472122
32541,user158,611062
32622,user268,-57457
32729,user322,553438
32826,user133,130997
32920,user261,536197
33111,user18,164212
33140,user119,87701
33326,user411,459402
33484,user448,339457
33571,user293,-34121
33745,user443,319949
33904,user482,828697
33906,user21,66086
33947,user201,56873
34016,user154,804226
34050,user479,213417
34241,user471,632243
34441,user17,841269
34477,user150,261212
34625,user110,240355
34748,user178,935532
34759,user278,-12401
34803,user486,514713
34826,user303,-77023
34904,user462,220461
34931,user405,143612
34969,user287,363083
35017,user268,523543
35139,user422,507699
35275,user491,306162
35357,user459,242145
35538,user83,-131873
35681,user448,449114
35755,user274,870066
35794,user450,702669
35842,user387,386845
35890,user199,752459
35982,user155,-43128
36049,user339,367789
36171,user238,99706
36308,user345,288006
36461,user368,-2920
36653,user123,510545
36794,user368,825598
36857,user353,168281
37029,user8,873150
37126,user493,-118276
37266,user313,993739
37457,user436,923973
37650,user379,455538
37819,user153,450011
37922,user69,145319
38015,user58,588691
38153,user268,395487
38254,user349,825989
38365,user154,600687
38491,user393,832738
38619,user335,642200
38627,user316,-192656
38777,user465,247933
38793,user413,-21067
38924,user334,52842
38940,user133,815956
38992,user289,559470
39093,user308,602325
39211,user95,552776
39400,user292,342883
39480,user350,-103663
39599,user264,869803
39755,user50,-116903
39949,user90,15213
40103,user283,929408
40116,user331,-170786
40278,user95,859551
40410,user27,668169
40468,user165,686385
40631,user269,672929
40784,user296,888441
40921,user319,138830
40959,user88,40710
41133,user314,105877
41176,user158,845289
41296,user291,142241
41468,user236,345940
41497,user369,199290
41653,user365,-197882
41775,user96,882574
41872,user197,276517
